Invalid Vote Category Description,Invalid Vote Category Type
Does not bear the official mark.,ELECTION
Votes are given for more than one recognized political party.,ELECTION
Votes are given for more than one Independent Group.,ELECTION
Votes are given for a combination of one ore more recognized political party and Independent Groups.,ELECTION
Something is written or marked by which the voter can be identified.,ELECTION
Unmarked.,ELECTION
Void for Uncertainty.,ELECTION
No. of Ballot Papers with Preferences Indicated for more than 3 Candidates,PARTY_SPECIFIC
No. of Ballot Papers where all Preferences are void uncertainty,PARTY_SPECIFIC
No. of Ballot Papers with no Preferences,PARTY_SPECIFIC
