Party,Party Symbol,Candidate
IG1 - Badhoor Jamal Mohomad Nasrulla,,Aithurus Mohamed Illias
United Peace Alliance,,Ibrahim Miflar
Democratic National Movement,,Prasanna Priyankara
Sri Lanka Jathika Peramuna,,Wimal Geeganage
United Socialist Party,,Sirithunga Jayasuriya
Okkoma Wasiyo Okkoma Rajawaru Sanvidanaya,,M. B. Theminimulla
Socialist Equality Party,,Pani Wijesiriwardane
Sri Lanka Progressive Front,,Duminda Nagamuwa
Sri Lanka Labour Party,,Panagoda Don Prince Soloman Anura Liyanage
United Democratic Front,,Maithripala Sirisena
Eksath Lanka Podujana Pakshaya,,Ruwanthilaka Peduru Arachchi
IG2 - Maylan Achchige Don Asanka Nandana Srinath,,Anuruddha Polgampala
Jana Setha Peramuna,,Baththaramulle Seelarathana Thero
Nawa Sihala Urumaya,,Sarath Manamendra
Deshapremi Jathika Peramuna,,Arachchige Rathnayaka Sirisena
United People's Freedom Alliance,,Mahinda Rajapaksa
Our National Front,,Namal Rajapaksa
Nawa Sama Samaja Party,,Sundaram Mahendran
Eksath Lanka Maha Saba Party,,Jayantha Kulathunga
